id,kodas,name
darbo_kodas_197, 1312,2 - Akvakultūros ir žuvininkystės ūkio produkcijos gamybos vadovai
darbo_kodas_198, 1321,1 - Gamybos vadovai
darbo_kodas_199, 1322,2 - Gavybos vadovai
darbo_kodas_200, 1323,3 - Statybos vadovai
darbo_kodas_201, 1324,"4 - Tiekimo, platinimo ir panašių paslaugų vadovai"
darbo_kodas_202, 1330,0 - Informacinių technologijų ir ryšių paslaugų srities vadovai
darbo_kodas_203, 1341,1 - Vaikų priežiūros paslaugų srities vadovai
darbo_kodas_204, 1342,2 - Sveikatinimo paslaugų srities vadovai
darbo_kodas_205, 1343,3 - Pagyvenusių žmonių slaugos ir socialinių paslaugų srities vadovai
darbo_kodas_206, 1344,4 - Socialinės paramos vadovai
darbo_kodas_207, 1345,5 - Švietimo srities vadovai
darbo_kodas_208, 1346,6 - Finansinių ir draudimo paslaugų padalinių vadovai
darbo_kodas_209, 1349,9 - Kitur nepriskirti profesionaliųjų paslaugų srities vadovai
darbo_kodas_210, 1411,1 - Viešbučių vadovai
darbo_kodas_211, 1412,2 - Restoranų vadovai
darbo_kodas_212, 1420,0 - Mažmeninės ir didmeninės prekybos vadovai
darbo_kodas_213, 1431,"1 - Sporto, laisvalaikio ir kultūros įstaigų vadovai"
darbo_kodas_214, 1439,9 - Kitur nepriskirti paslaugų srities vadovai
darbo_kodas_215, 2111,1 - Fizikai ir astronomai
darbo_kodas_216, 2112,2 - Meteorologai
darbo_kodas_217, 2113,3 - Chemikai
darbo_kodas_218, 2114,4 - Geologai ir geofizikai
darbo_kodas_219, 2120,"0 - Matematikai, aktuarai ir statistikai"
darbo_kodas_220, 2131,"1 - Biologai, botanikai, zoologai ir giminiškų profesijų specialistai"
darbo_kodas_221, 2132,2 - Žemės ir miškų ūkio bei žuvininkystės specialistai
darbo_kodas_222, 2133,3 - Aplinkos apsaugos specialistai
darbo_kodas_223, 2141,1 - Technologijų ir gamybos inžinieriai
darbo_kodas_224, 2142,2 - Statybos inžinieriai
darbo_kodas_225, 2143,3 - Ekologijos inžinieriai
darbo_kodas_226, 2144,4 - Mechanikos inžinieriai
darbo_kodas_227, 2145,5 - Chemijos inžinieriai
darbo_kodas_228, 2146,"6 - Gavybos inžinieriai, metalurgai ir giminiškų profesijų specialistai"
darbo_kodas_229, 2149,9 - Kitur nepriskirti inžinerijos specialistai
darbo_kodas_230, 2151,1 - Elektros inžinieriai
darbo_kodas_231, 2152,2 - Elektronikos inžinieriai
darbo_kodas_232, 2153,3 - Telekomunikacijų inžinieriai
darbo_kodas_233, 2161,1 - Statybos architektai
darbo_kodas_234, 2162,2 - Kraštovaizdžio architektai
darbo_kodas_235, 2163,3 - Produktų ir drabužių dizaineriai
darbo_kodas_236, 2164,4 - Miestų ir kelių eismo planuotojai
darbo_kodas_237, 2165,5 - Kartografai ir topografai
darbo_kodas_238, 2166,6 - Grafikos ir multimedijos dizaineriai
darbo_kodas_239, 2211,1 - Bendrosios praktikos gydytojai
darbo_kodas_240, 2212,2 - Gydytojai specialistai
darbo_kodas_241, 2221,1 - Slaugos specialistai
darbo_kodas_242, 2222,2 - Akušerijos specialistai
darbo_kodas_243, 2230,0 - Tradicinės ir liaudies medicinos specialistai
darbo_kodas_244, 2240,0 - Paramedikai
darbo_kodas_245, 2250,0 - Veterinarai
darbo_kodas_246, 2261,1 - Gydytojai odontologai
darbo_kodas_247, 2262,2 - Vaistininkai
darbo_kodas_248, 2263,"3 - Aplinkos, profesinės sveikatos ir higienos specialistai"
darbo_kodas_249, 2264,4 - Fizioterapeutai
darbo_kodas_250, 2265,5 - Dietistai ir mitybos specialistai
darbo_kodas_251, 2266,6 - Audiologai ir kalbos terapeutai
darbo_kodas_252, 2267,7 - Optometrijos specialistai ir optikai
darbo_kodas_253, 2269,9 - Kitur nepriskirti sveikatos specialistai
darbo_kodas_254, 2310,0 - Aukštųjų mokyklų dėstytojai
darbo_kodas_255, 2320,0 - Profesijos mokytojai
darbo_kodas_256, 2330,0 - Pagrindinio ir vidurinio ugdymo mokytojai
darbo_kodas_257, 2341,1 - Pradinio ugdymo mokytojai
darbo_kodas_258, 2342,2 - Ikimokyklinio ugdymo mokytojai
darbo_kodas_259, 2351,1 - Švietimo metodų specialistai
darbo_kodas_260, 2352,2 - Specialiųjų poreikių mokinių mokytojai
darbo_kodas_261, 2353,3 - Neformaliojo švietimo kalbų mokytojai
darbo_kodas_262, 2354,4 - Neformaliojo švietimo muzikos mokytojai
darbo_kodas_263, 2355,5 - Neformaliojo švietimo meninio ugdymo mokytojai
darbo_kodas_264, 2356,6 - Neformaliojo švietimo informacinių technologijų praktikos mokytojai
darbo_kodas_265, 2359,9 - Kitur nepriskirti mokymo specialistai
darbo_kodas_266, 2411,1 - Buhalteriai
darbo_kodas_267, 2412,2 - Finansų ir investicijų konsultantai
darbo_kodas_268, 2413,3 - Finansų analitikai
darbo_kodas_269, 2421,1 - Vadybos ir organizavimo analitikai
darbo_kodas_270, 2422,2 - Politikos ir administravimo specialistai
darbo_kodas_271, 2423,3 - Personalo ir profesinio orientavimo specialistai
darbo_kodas_272, 2424,4 - Mokymo ir darbuotojų ugdymo specialistai
darbo_kodas_273, 2431,1 - Reklamos ir rinkodaros specialistai
darbo_kodas_274, 2432,2 - Viešųjų ryšių specialistai
darbo_kodas_275, 2433,3 - Technikos ir medicinos sričių pardavimo (išskyrus informacinių technologijų ir ryšių paslaugų pardavimą) specialistai
darbo_kodas_276, 2434,4 - Informacinių technologijų ir ryšių paslaugų pardavimo specialistai
darbo_kodas_277, 2511,1 - Sistemų analitikai
darbo_kodas_278, 2512,2 - Programinės įrangos kūrėjai
darbo_kodas_279, 2513,3 - Saityno ir multimedijos kūrėjai
darbo_kodas_280, 2514,4 - Taikomųjų programų kūrėjai
darbo_kodas_281, 2519,9 - Kitur nepriskirti programinės įrangos ir taikomųjų programų kūrėjai ir analitikai
darbo_kodas_282, 2521,1 - Duomenų bazių projektuotojai ir administratoriai
darbo_kodas_283, 2522,2 - Sistemų administratoriai
darbo_kodas_284, 2523,3 - Kompiuterių tinklų specialistai
darbo_kodas_285, 2529,9 - Kitur nepriskirti duomenų bazių ir tinklų specialistai
darbo_kodas_286, 2611,1 - Teisininkai
darbo_kodas_287, 2612,2 - Teisėjai
darbo_kodas_288, 2619,9 - Kitur nepriskirti teisės specialistai
darbo_kodas_289, 2621,1 - Archyvų ir muziejų specialistai
