id,date,name
l10n_lt_payroll.2027_03_29,2027-03-29,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 2 d.
l10n_lt_payroll.2027_05_01,2027-05-01,Tarptautinę darbo dieną
l10n_lt_payroll.2027_05_02,2027-05-02,Motinos diena
l10n_lt_payroll.2027_06_24,2027-06-24,Rasos ir Joninių diena
l10n_lt_payroll.2027_07_06,2027-07-06,Valstybės (Lietuvos karaliaus Mindaugo karūnavimo) diena
l10n_lt_payroll.2027_08_15,2027-08-15,Žolinė (Švč. Mergelės Marijos ėmimo į dangų diena)
l10n_lt_payroll.2027_11_01,2027-11-01,Visų Šventųjų diena
l10n_lt_payroll.2027_11_02,2027-11-02,Mirusiųjų atminimo (Vėlinių) dieną
l10n_lt_payroll.2027_12_24,2027-12-24,Šv. Kūčios
l10n_lt_payroll.2027_12_25,2027-12-25,Šv. Kalėdos 1 d.
l10n_lt_payroll.2027_12_26,2027-12-26,Šv. Kalėdos 2 d.
l10n_lt_payroll.2028_01_01,2028-01-01,Naujųjų metų diena
l10n_lt_payroll.2028_02_16,2028-02-16,Lietuvos valstybės atkūrimo diena
l10n_lt_payroll.2028_03_11,2028-03-11,Lietuvos nepriklausomybės atkūrimo diena
l10n_lt_payroll.2028_04_16,2028-04-16,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 1 d.
l10n_lt_payroll.2028_04_17,2028-04-17,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 2 d.
l10n_lt_payroll.2028_05_01,2028-05-01,Tarptautinę darbo dieną
l10n_lt_payroll.2028_05_07,2028-05-07,Motinos diena
l10n_lt_payroll.2028_06_24,2028-06-24,Rasos ir Joninių diena
l10n_lt_payroll.2028_07_06,2028-07-06,Valstybės (Lietuvos karaliaus Mindaugo karūnavimo) diena
l10n_lt_payroll.2028_08_15,2028-08-15,Žolinė (Švč. Mergelės Marijos ėmimo į dangų diena)
l10n_lt_payroll.2028_11_01,2028-11-01,Visų Šventųjų diena
l10n_lt_payroll.2028_11_02,2028-11-02,Mirusiųjų atminimo (Vėlinių) dieną
l10n_lt_payroll.2028_12_24,2028-12-24,Šv. Kūčios
l10n_lt_payroll.2028_12_25,2028-12-25,Šv. Kalėdos 1 d.
l10n_lt_payroll.2028_12_26,2028-12-26,Šv. Kalėdos 2 d.
l10n_lt_payroll.2029_01_01,2029-01-01,Naujųjų metų diena
l10n_lt_payroll.2029_02_16,2029-02-16,Lietuvos valstybės atkūrimo diena
l10n_lt_payroll.2029_03_11,2029-03-11,Lietuvos nepriklausomybės atkūrimo diena
l10n_lt_payroll.2029_04_01,2029-04-01,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 1 d.
l10n_lt_payroll.2029_04_02,2029-04-02,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 2 d.
l10n_lt_payroll.2029_05_01,2029-05-01,Tarptautinę darbo dieną
l10n_lt_payroll.2029_05_06,2029-05-06,Motinos diena
l10n_lt_payroll.2029_06_24,2029-06-24,Rasos ir Joninių diena
l10n_lt_payroll.2029_07_06,2029-07-06,Valstybės (Lietuvos karaliaus Mindaugo karūnavimo) diena
l10n_lt_payroll.2029_08_15,2029-08-15,Žolinė (Švč. Mergelės Marijos ėmimo į dangų diena)
l10n_lt_payroll.2029_11_01,2029-11-01,Visų Šventųjų diena
l10n_lt_payroll.2029_11_02,2029-11-02,Mirusiųjų atminimo (Vėlinių) dieną
l10n_lt_payroll.2029_12_24,2029-12-24,Šv. Kūčios
l10n_lt_payroll.2029_12_25,2029-12-25,Šv. Kalėdos 1 d.
l10n_lt_payroll.2029_12_26,2029-12-26,Šv. Kalėdos 2 d.
l10n_lt_payroll.2030_01_01,2030-01-01,Naujųjų metų diena
l10n_lt_payroll.2030_02_16,2030-02-16,Lietuvos valstybės atkūrimo diena
l10n_lt_payroll.2030_03_11,2030-03-11,Lietuvos nepriklausomybės atkūrimo diena
l10n_lt_payroll.2030_04_21,2030-04-21,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 1 d.
l10n_lt_payroll.2030_04_22,2030-04-22,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 2 d.
l10n_lt_payroll.2030_05_01,2030-05-01,Tarptautinę darbo dieną
l10n_lt_payroll.2030_05_05,2030-05-05,Motinos diena
l10n_lt_payroll.2030_06_24,2030-06-24,Rasos ir Joninių diena
l10n_lt_payroll.2030_07_06,2030-07-06,Valstybės (Lietuvos karaliaus Mindaugo karūnavimo) diena
l10n_lt_payroll.2030_08_15,2030-08-15,Žolinė (Švč. Mergelės Marijos ėmimo į dangų diena)
l10n_lt_payroll.2030_11_01,2030-11-01,Visų Šventųjų diena
l10n_lt_payroll.2030_11_02,2030-11-02,Mirusiųjų atminimo (Vėlinių) dieną
l10n_lt_payroll.2030_12_24,2030-12-24,Šv. Kūčios
l10n_lt_payroll.2030_12_25,2030-12-25,Šv. Kalėdos 1 d.
l10n_lt_payroll.2030_12_26,2030-12-26,Šv. Kalėdos 2 d.
l10n_lt_payroll.2015_06_07,2015-06-07,Tėvo diena
l10n_lt_payroll.2016_06_05,2016-06-05,Tėvo diena
l10n_lt_payroll.2017_06_04,2017-06-04,Tėvo diena
l10n_lt_payroll.2018_06_03,2018-06-03,Tėvo diena
l10n_lt_payroll.2019_06_02,2019-06-02,Tėvo diena
l10n_lt_payroll.2020_06_07,2020-06-07,Tėvo diena
l10n_lt_payroll.2021_06_06,2021-06-06,Tėvo diena
l10n_lt_payroll.2022_06_05,2022-06-05,Tėvo diena
l10n_lt_payroll.2023_06_04,2023-06-04,Tėvo diena
l10n_lt_payroll.2024_06_02,2024-06-02,Tėvo diena
l10n_lt_payroll.2025_06_01,2025-06-01,Tėvo diena
l10n_lt_payroll.2026_06_07,2026-06-07,Tėvo diena
l10n_lt_payroll.2027_06_06,2027-06-06,Tėvo diena
l10n_lt_payroll.2028_06_04,2028-06-04,Tėvo diena
l10n_lt_payroll.2029_06_03,2029-06-03,Tėvo diena
l10n_lt_payroll.2030_06_02,2030-06-02,Tėvo diena
