id,account_ids/id,excluded_account_ids/id
sl_general_report.pelnas11,,
sl_general_report.pl11_report_1,"l10n_lt.1_account_410,l10n_lt.account_account_43,l10n_lt.1_account_416,l10n_lt.1_account_419,l10n_lt.1_account_422,l10n_lt.1_account_427,l10n_lt.1_account_415",
sl_general_report.pl11_report_2,l10n_lt.1_account_410,
sl_general_report.pl11_report_3,l10n_lt.account_account_43,
sl_general_report.pl11_report_4,"l10n_lt.1_account_416,l10n_lt.1_account_419,l10n_lt.1_account_422,l10n_lt.1_account_427,l10n_lt.1_account_415",
sl_general_report.pl11_report_5,"l10n_lt.1_account_436,l10n_lt.1_account_446,l10n_lt.1_account_454,l10n_lt.1_account_445,l10n_lt.1_account_480,l10n_lt.1_account_483,l10n_lt.1_account_486,l10n_lt.1_account_489",
sl_general_report.pl11_report_6,"l10n_lt.1_account_436,l10n_lt.1_account_446",
sl_general_report.pl11_report_7,"l10n_lt.1_account_454",
sl_general_report.pl11_report_8,"l10n_lt.1_account_445,l10n_lt.1_account_480,l10n_lt.1_account_483,l10n_lt.1_account_486,l10n_lt.1_account_489",
sl_general_report.pl11_report_9,"l10n_lt.1_account_410,l10n_lt.account_account_43,l10n_lt.1_account_416,l10n_lt.1_account_419,l10n_lt.1_account_422,l10n_lt.1_account_427,l10n_lt.1_account_415,l10n_lt.1_account_436,l10n_lt.1_account_446,l10n_lt.1_account_454,l10n_lt.1_account_445,l10n_lt.1_account_480,l10n_lt.1_account_483,l10n_lt.1_account_486,l10n_lt.1_account_489",
sl_general_report.pl11_report_10,l10n_lt.1_account_502,
sl_general_report.pl11_report_11,"l10n_lt.1_account_410,l10n_lt.account_account_43,l10n_lt.1_account_416,l10n_lt.1_account_419,l10n_lt.1_account_422,l10n_lt.1_account_427,l10n_lt.1_account_415,l10n_lt.1_account_436,l10n_lt.1_account_446,l10n_lt.1_account_454,l10n_lt.1_account_445,l10n_lt.1_account_480,l10n_lt.1_account_483,l10n_lt.1_account_486,l10n_lt.1_account_489",l10n_lt.1_account_502
sl_general_report.balansas2,,
sl_general_report.b2_report_1,,
sl_general_report.b2_report_2,l10n_lt.1_account_1,
sl_general_report.b2_report_3,l10n_lt.1_account_2,
sl_general_report.b2_report_4,l10n_lt.1_account_24,
sl_general_report.b2_report_5,l10n_lt.1_account_87,
sl_general_report.b2_report_6,l10n_lt.1_account_155,
sl_general_report.b2_report_7,"l10n_lt.1_account_175,l10n_lt.1_account_301",
sl_general_report.b2_report_8,"l10n_lt.1_account_176,l10n_lt.1_account_224",
sl_general_report.b2_report_9,l10n_lt.1_account_227,
sl_general_report.b2_report_10,"l10n_lt.1_account_262,l10n_lt.1_account_301",
sl_general_report.b2_report_11,l10n_lt.1_account_295,
sl_general_report.b2_report_12,"l10n_lt.1_account_1,l10n_lt.1_account_175",
sl_general_report.b2_report_13,,
sl_general_report.b2_report_14,"l10n_lt.1_account_304,l10n_lt.1_account_409,l10n_lt.1_account_435",l10n_lt.account_account_36
sl_general_report.b2_report_15,"l10n_lt.1_account_305,l10n_lt.1_account_318,l10n_lt.1_account_319,l10n_lt.1_account_322",
sl_general_report.b2_report_16,"l10n_lt.1_account_326,l10n_lt.1_account_409,l10n_lt.1_account_435,l10n_lt.1_account_335",
sl_general_report.b2_report_17,"l10n_lt.1_account_337,l10n_lt.account_account_36",
sl_general_report.b2_report_18,"l10n_lt.1_account_340,l10n_lt.1_account_344,l10n_lt.1_account_363,l10n_lt.1_account_406",
sl_general_report.b2_report_19,"l10n_lt.1_account_340,l10n_lt.1_account_344",
sl_general_report.b2_report_20,"l10n_lt.1_account_363,l10n_lt.1_account_406",
sl_general_report.b2_report_21,"l10n_lt.1_account_304,l10n_lt.1_account_336,l10n_lt.1_account_409,l10n_lt.1_account_435",
sl_general_report.pelnas2,,
sl_general_report.pl2_report_1,l10n_lt.1_account_410,
sl_general_report.pl2_report_2,l10n_lt.1_account_436,
sl_general_report.pl2_report_3,"l10n_lt.1_account_410,l10n_lt.1_account_436,l10n_lt.1_account_415,l10n_lt.1_account_445",
sl_general_report.pl2_report_4,"l10n_lt.1_account_446,l10n_lt.1_account_454",
sl_general_report.pl2_report_5,"l10n_lt.1_account_410,l10n_lt.1_account_436,l10n_lt.1_account_415,l10n_lt.1_account_445,l10n_lt.1_account_446,l10n_lt.1_account_454",
sl_general_report.pl2_report_6,"l10n_lt.1_account_416,l10n_lt.1_account_480,l10n_lt.1_account_483",
sl_general_report.pl2_report_7,"l10n_lt.1_account_419,l10n_lt.1_account_422,l10n_lt.1_account_427,l10n_lt.1_account_486,l10n_lt.1_account_489,l10n_lt.account_account_43",
sl_general_report.pl2_report_8,"l10n_lt.1_account_410,l10n_lt.1_account_436,l10n_lt.1_account_415,l10n_lt.1_account_445,l10n_lt.1_account_446,l10n_lt.1_account_454,l10n_lt.1_account_483,l10n_lt.1_account_416,l10n_lt.1_account_480,l10n_lt.1_account_419,l10n_lt.1_account_422,l10n_lt.1_account_427,l10n_lt.1_account_486,l10n_lt.1_account_489,l10n_lt.1_account_483",
sl_general_report.pl2_report_9,l10n_lt.1_account_502,
sl_general_report.pl2_report_10,"l10n_lt.1_account_409,l10n_lt.1_account_435",
sl_general_report.balansas000,,
sl_general_report.b000_report_1,,
sl_general_report.b000_report_2,l10n_lt.1_account_1,
sl_general_report.b000_report_3,l10n_lt.1_account_2,
sl_general_report.b000_report_4,l10n_lt.1_account_24,
sl_general_report.b000_report_5,l10n_lt.1_account_87,
sl_general_report.b000_report_6,l10n_lt.1_account_155,
sl_general_report.b000_report_7,l10n_lt.1_account_175,l10n_lt.1_account_301
sl_general_report.b000_report_8,"l10n_lt.1_account_176,l10n_lt.1_account_224",
sl_general_report.b000_report_9,l10n_lt.1_account_227,
sl_general_report.b000_report_10,l10n_lt.1_account_262,
sl_general_report.b000_report_11,l10n_lt.1_account_295,
sl_general_report.b000_report_12,l10n_lt.1_account_301,
sl_general_report.b000_report_13,"l10n_lt.1_account_1,l10n_lt.1_account_175",
sl_general_report.b000_report_14,,
sl_general_report.b000_report_15,"l10n_lt.1_account_304,l10n_lt.1_account_409,l10n_lt.1_account_435",l10n_lt.account_account_36
sl_general_report.b000_report_16,l10n_lt.1_account_305,
sl_general_report.b000_report_17,l10n_lt.1_account_318,
sl_general_report.b000_report_18,l10n_lt.1_account_319,
sl_general_report.b000_report_19,l10n_lt.1_account_322,
sl_general_report.b000_report_20,"l10n_lt.1_account_326,l10n_lt.1_account_409,l10n_lt.1_account_435,l10n_lt.1_account_335",
sl_general_report.b000_report_21,"l10n_lt.1_account_337,l10n_lt.account_account_36",
sl_general_report.b000_report_22,l10n_lt.1_account_340,
sl_general_report.b000_report_23,"l10n_lt.1_account_344,l10n_lt.1_account_363",
sl_general_report.b000_report_24,l10n_lt.1_account_344,
sl_general_report.b000_report_25,l10n_lt.1_account_363,
sl_general_report.b000_report_26,l10n_lt.1_account_406,
sl_general_report.b000_report_27,"l10n_lt.1_account_304,l10n_lt.1_account_409,l10n_lt.1_account_435,l10n_lt.1_account_406,l10n_lt.1_account_344,l10n_lt.1_account_363,l10n_lt.1_account_340,l10n_lt.1_account_337,l10n_lt.account_account_36",
