id,code,name,active
evrk_C205920,C205920,"Aktyvintų anglių, tepalų priedų, paruoštų kaučiuko vulkanizavimo greitiklių, katalizatorių gamyba",TRUE
evrk_C205930,C205930,"Antidetonatorių, antifrizų, skysčių hidraulinėms sistemoms gamyba",TRUE
evrk_C205940,C205940,Rašalo ir tušo gamyba,TRUE
evrk_C206000,C206000,Cheminių pluoštų gamyba,TRUE
evrk_C206000,C206000,Cheminių pluoštų gamyba,TRUE
evrk_C210000,C210000,Pagrindinių vaistų pramonės gaminių ir farmacinių preparatų gamyba,TRUE
evrk_C211000,C211000,Pagrindinių vaistų pramonės gaminių gamyba,TRUE
evrk_C211000,C211000,Pagrindinių vaistų pramonės gaminių gamyba,TRUE
evrk_C211010,C211010,Narkotinių medžiagų gamyba,TRUE
evrk_C212000,C212000,Farmacinių preparatų gamyba,TRUE
evrk_C212000,C212000,Farmacinių preparatų gamyba,TRUE
evrk_C212010,C212010,Vaistų gamyba,TRUE
evrk_C212020,C212020,Veterinarinių vaistų gamyba,TRUE
evrk_C220000,C220000,Guminių ir plastikinių gaminių gamyba,TRUE
evrk_C221000,C221000,Guminių gaminių gamyba,TRUE
evrk_C221100,C221100,Guminių padangų ir kamerų gamyba; guminių padangų restauravimas ir atnaujinimas,TRUE
evrk_C221900,C221900,Kitų guminių gaminių gamyba,TRUE
evrk_C222000,C222000,Plastikinių gaminių gamyba,TRUE
evrk_C222100,C222100,"Plastikinių plokščių, lakštų, vamzdžių ir profiliuočių gamyba",TRUE
evrk_C222200,C222200,Plastikinių pakuočių gamyba,TRUE
evrk_C222300,C222300,Plastikinių statybos dirbinių gamyba,TRUE
evrk_C222900,C222900,Kitų plastikinių gaminių gamyba,TRUE
evrk_C230000,C230000,Kitų nemetalo mineralinių produktų gamyba,TRUE
evrk_C231000,C231000,Stiklo ir stiklo gaminių bei dirbinių gamyba,TRUE
evrk_C231100,C231100,Plokščiojo stiklo gamyba,TRUE
evrk_C231200,C231200,Plokščiojo stiklo pjaustymas ir apdorojimas,TRUE
evrk_C231300,C231300,Tuščiavidurio stiklo gamyba,TRUE
evrk_C231310,C231310,Stiklinių talpyklų gamyba,TRUE
evrk_C231400,C231400,Stiklo pluoštų gamyba,TRUE
evrk_C231900,C231900,"Kito stiklo, įskaitant skirto techninėms reikmėms, gamyba ir apdorojimas",TRUE
evrk_C231910,C231910,Stiklinių izoliatorių ir stiklinių izoliacinių jungiamųjų detalių gamyba,TRUE
evrk_C232000,C232000,Ugniai atsparių gaminių gamyba,TRUE
evrk_C232000,C232000,Ugniai atsparių gaminių gamyba,TRUE
evrk_C233000,C233000,Statybinių medžiagų iš molio gamyba,TRUE
evrk_C233100,C233100,Keraminių apdailos ir šaligatvio plytelių gamyba,TRUE
evrk_C233110,C233110,Koklių gamyba,TRUE
evrk_C233120,C233120,Keraminių grindinio dangų gamyba,TRUE
evrk_C233200,C233200,"Degto molio plytų, plytelių ir statybinių dirbinių gamyba",TRUE
evrk_C234000,C234000,Kitų porcelianinių ir keraminių gaminių bei dirbinių gamyba,TRUE
evrk_C234100,C234100,Keraminių buities ir puošybos gaminių bei dirbinių gamyba,TRUE
evrk_C234200,C234200,Keraminių santechnikos gaminių ir dirbinių gamyba,TRUE
evrk_C234300,C234300,Keraminių izoliatorių ir keraminių izoliacinių detalių gamyba,TRUE
evrk_C234400,C234400,Kitų techninės paskirties keraminių gaminių ir dirbinių gamyba,TRUE
evrk_C234900,C234900,Kitų keraminių gaminių ir dirbinių gamyba,TRUE
evrk_C235000,C235000,"Cemento, kalkių ir gipso gamyba",TRUE
evrk_C235100,C235100,Cemento gamyba,TRUE
evrk_C235200,C235200,Kalkių ir gipso gamyba,TRUE
evrk_C236000,C236000,"Betono, cemento ir gipso gaminių bei dirbinių gamyba",TRUE
evrk_C236100,C236100,"Betono gaminių, skirtų statybinėms reikmėms, gamyba",TRUE
evrk_C236200,C236200,"Gipso gaminių, naudojamų statybinėms reikmėms, gamyba",TRUE
evrk_C236300,C236300,Prekinio betono mišinio gamyba,TRUE
evrk_C236400,C236400,Statybinių skiedinių gamyba,TRUE
evrk_C236500,C236500,Fibrolito gamyba,TRUE
evrk_C236900,C236900,"Kitų betono, gipso ir cemento gaminių bei dirbinių gamyba",TRUE
evrk_C237000,C237000,"Akmens pjaustymas, tašymas ir apdailinimas",TRUE
evrk_C237000,C237000,"Akmens pjaustymas, tašymas ir apdailinimas",TRUE
evrk_C239000,C239000,Abrazyvinių gaminių ir niekur kitur nepriskirtų nemetalo mineralinių produktų gamyba,TRUE
evrk_C239100,C239100,Abrazyvinių gaminių gamyba,TRUE
evrk_C239900,C239900,"Kitų, niekur kitur nepriskirtų, nemetalo mineralinių produktų gamyba",TRUE
evrk_C239910,C239910,"Asbestinio pluošto, verpalų ir audinių bei gaminių iš jų gamyba",TRUE
evrk_C239920,C239920,Frikcinių medžiagų ir jų gaminių gamyba,TRUE
evrk_C239930,C239930,Mineralinių izoliacinių medžiagų gamyba,TRUE
evrk_C239940,C239940,Dirbinių iš bitumo gamyba,TRUE
evrk_C240000,C240000,Pagrindinių metalų gamyba,TRUE
evrk_C241000,C241000,Tomo ketaus ir plieno bei ferolydinių gamyba,TRUE
